# SCM-normalized mRNA and protein measurements 
#
# Generated Thu Nov 27 20:26:30 2014 
#
# Citation:
#   "Accounting for experimental noise reveals that transcript levels,
#   amplified by post-transcriptional regulation, largely determine steady-state protein levels in yeast,"
#   Gábor Csárdi, Alexander Franks, David S. Choi, Eduardo M. Airoldi, and D. Allan Drummond, PLoS Genetics, 2015
#
# orf = Systematic yeast ORF (open reading frame) identifier
# gene = Common gene name
# mrna.causton.acid.a = Causton et al. 2001 (acid treatment, 0 min, replicate a)
# mrna.causton.acid.b = Causton et al. 2001 (acid treatment, 0 min, replicate b)
# mrna.causton.nacl = Causton et al. 2001 (NaCl treatment, 0 min)
# mrna.causton.peroxide.a = Causton et al. 2001 (peroxide treatment, 0 min, replicate a)
# mrna.causton.peroxide.b = Causton et al. 2001 (peroxide treatment, 0 min, replicate b)
# mrna.dudley.3a = Dudley et al. 2002 (+glucose oligo slide 3a)
# mrna.dudley.3b = Dudley et al. 2002 (+glucose oligo slide 3b)
# mrna.dudley.3c = Dudley et al. 2002 (+glucose oligo slide 3c)
# mrna.dudley.3d = Dudley et al. 2002 (+glucose oligo slide 3d)
# mrna.garcia = Garcia-Martinez et al. 2004 (custom microarray)
# mrna.holstege = Holstege et al. 1998 (Affymetrix GeneChip YE6100 array)
# mrna.ingolia.1 = Ingolia et al. 2009 RNA-Seq (mRNA, rich medium, 1)
# mrna.ingolia.2 = Ingolia et al. 2009 RNA-Seq (mRNA, rich medium, 2)
# mrna.ingolia.ca = Ingolia 2010 (RNA-Seq, circular amplification)
# mrna.ingolia.ca.late = Ingolia 2010 (RNA-Seq, circular amplification, late)
# mrna.ingolia.rq = Ingolia 2010 (RNA-Seq, requantified)
# mrna.ingolia.rq.late = Ingolia 2010 RNA-Seq, requantified, late)
# mrna.lipson.rs07 = Lipson et al. 2009 (single-molecule sequencing [smsDGE] ch7)
# mrna.lipson.rs08 = Lipson et al. 2009 (single-molecule sequencing [smsDGE] ch8)
# mrna.lipson.rs09 = Lipson et al. 2009 (single-molecule sequencing [smsDGE] ch9)
# mrna.lipson.rs10 = Lipson et al. 2009 (single-molecule sequencing [smsDGE] ch10)
# mrna.lipson.rs11 = Lipson et al. 2009 (single-molecule sequencing [smsDGE] ch11)
# mrna.lipson.rs12 = Lipson et al. 2009 (single-molecule sequencing [smsDGE] ch12)
# mrna.lipson.ma = Lipson et al. 2009 (Affymetrix Yeast Genome 2.0 array)
# mrna.mackay = MacKay et al. 2004 (custom microarray)
# mrna.miura.1 = Miura et al. 2008 (competitive PCR, replicate 1)
# mrna.miura.2 = Miura et al. 2008 (competitive PCR, replicate 2)
# mrna.miura.3 = Miura et al. 2008 (competitive PCR, replicate 3)
# mrna.miura.4 = Miura et al. 2008 (competitive PCR, replicate 4)
# mrna.nagalakshmi = Nagalakshmi et al. 2008 RNA-Seq
# mrna.pelechano = Pelechano & Ortin, 2010 (custom microarray)
# mrna.roth.a = Roth 1998 (a cells, Affymetrix yeast antisense A-D array)
# mrna.roth.alpha = Roth 1998 (alpha cells, Affymetrix yeast antisense A-D array)
# mrna.velc = Velculescu 1997 (SAGE)
# mrna.yassour.ypd0.1 = Yassour et al. 2009 RNA-Seq (YPD, 0 minutes, 1)
# mrna.yassour.ypd0.2 = Yassour et al. 2009 RNA-Seq (YPD, 0 minutes, 2)
# mrna.yassour.ypd15.1 = Yassour et al. 2009 RNA-Seq (YPD, 15 minutes, 1)
# mrna.yassour.ypd15.2 = Yassour et al. 2009 RNA-Seq (YPD, 15 minutes, 2)
# prot.gygi = Gygi et al. 1999 (2D gel scintillation counting)
# prot.futcher = Futcher et al. 1999 (2D gel scintillation counting)
# prot.washburn = Washburn et al. 2001 (LC MS/MS, reported by Greenbaum et al. Genome Biology 2003, Volume 4, Issue 9, Article 117, Supplementary Table 4)
# prot.peng = Peng et al. 2003 (LC MS/MS, reported by Greenbaum et al. Genome Biology 2003, Volume 4, Issue 9, Article 117, Supplementary Table 4)
# prot.ghaem = Ghaemmaghami et al. 2003 (anti-TAP-tag western)
# prot.newman = Newman et al. 2006 (GFP signal quantified by flow cytometry)
# prot.lu = Lu et al. 2007 (APEX protein-level estimates)
# prot.degodoy = de Godoy et al. 2008a (LC MS/MS MaxQuant intensity values)
# prot.thakur.1 = Thakur et al. 2011 (LC MS/MS MaxQuant intensity values, replicate 1)
# prot.thakur.2 = Thakur et al. 2011 (LC MS/MS MaxQuant intensity values, replicate 2)
# prot.thakur.3 = Thakur et al. 2011 (LC MS/MS MaxQuant intensity values, replicate 3)
# prot.lee.1 = Lee et al. 2011 (TMT intensity values, replicate 1)
# prot.lee.2 = Lee et al. 2011 (TMT intensity values, replicate 2)
# prot.lee.3 = Lee et al. 2011 (TMT intensity values, replicate 3)
# prot.nagaraj.1 = Nagaraj et al. 2012 (LC MS/MS MaxQuant intensity values, replicate 1)
# prot.nagaraj.2 = Nagaraj et al. 2012 (LC MS/MS MaxQuant intensity values, replicate 2)
# prot.nagaraj.3 = Nagaraj et al. 2012 (LC MS/MS MaxQuant intensity values, replicate 3)
# prot.nagaraj.4 = Nagaraj et al. 2012 (LC MS/MS MaxQuant intensity values, replicate 4)
# prot.nagaraj.5 = Nagaraj et al. 2012 (LC MS/MS MaxQuant intensity values, replicate 5)
# prot.nagaraj.6 = Nagaraj et al. 2012 (LC MS/MS MaxQuant intensity values, replicate 6)
orf	gene	mrna.causton.acid.a	mrna.causton.acid.b	mrna.causton.nacl	mrna.causton.peroxide.a	mrna.causton.peroxide.b	mrna.dudley.3a	mrna.dudley.3b	mrna.dudley.3c	mrna.dudley.3d	mrna.garcia	mrna.holstege	mrna.ingolia.1	mrna.ingolia.2	mrna.ingolia.ca	mrna.ingolia.ca.late	mrna.ingolia.rq	mrna.ingolia.rq.late	mrna.lipson.rs07	mrna.lipson.rs08	mrna.lipson.rs09	mrna.lipson.rs10	mrna.lipson.rs11	mrna.lipson.rs12	mrna.lipson.ma	mrna.mackay	mrna.miura.1	mrna.miura.2	mrna.miura.3	mrna.miura.4	mrna.nagalakshmi	mrna.pelechano	mrna.roth.a	mrna.roth.alpha	mrna.velc	mrna.yassour.ypd0.1	mrna.yassour.ypd0.2	mrna.yassour.ypd15.1	mrna.yassour.ypd15.2	prot.gygi	prot.futcher	prot.washburn	prot.peng	prot.ghaem	prot.newman	prot.lu	prot.degodoy	prot.thakur.1	prot.thakur.2	prot.thakur.3	prot.lee.1	prot.lee.2	prot.lee.3	prot.nagaraj.1	prot.nagaraj.2	prot.nagaraj.3	prot.nagaraj.4	prot.nagaraj.5	prot.nagaraj.6
Q0120	BI4	       NA	       NA	      NA	        NA	       NA	       NA	       NA	       NA	       NA	       NA	     NA	       NA	        NA	-3.310265	-2.78036	-2.666700	-2.614409	-5.489864	-6.181658	       NA	      NA	-6.1883027	      NA	       NA	       NA	      NA	      NA	       NA	     NA	      NA	       NA	   NA	     NA	   NA	        NA	       NA	       NA	       NA	   NA	  NA	   NA	  NA	      NA	      NA	   NA	        NA	    NA	   NA	   NA	       NA	      NA	     NA	      NA	      NA	      NA	        NA	      NA	      NA
Q0130	OLI1	       NA	       NA	      NA	        NA	       NA	       NA	       NA	       NA	       NA	       NA	     NA	 2.323584	 1.7953072	 1.811856	 1.71593	 1.638991	 1.535863	-3.187279	-3.409069	-3.619079	-2.79430	-3.4802525	-2.70236	       NA	       NA	      NA	      NA	       NA	     NA	-0.02721	       NA	   NA	     NA	   NA	        NA	       NA	       NA	       NA	   NA	  NA	   NA	  NA	      NA	      NA	   NA	 0.2201852	    NA	   NA	   NA	       NA	      NA	     NA	 1.30231	 1.08211	 0.62034	 1.1571307	 0.83296	 1.33408
Q0140	VAR1	       NA	       NA	      NA	        NA	       NA	       NA	       NA	       NA	       NA	       NA	     NA	       NA	        NA	-2.451978	-4.16833	-3.376711	       NA	       NA	       NA	-6.184028	      NA	-6.1883027	      NA	       NA	       NA	      NA	      NA	       NA	     NA	      NA	       NA	   NA	     NA	   NA	        NA	       NA	       NA	       NA	   NA	  NA	   NA	  NA	      NA	      NA	   NA	 1.4608624	    NA	   NA	   NA	       NA	      NA	     NA	 3.10388	 3.00605	 2.95787	 2.9250450	 3.20000	 2.65715
Q0160	SCEI	       NA	       NA	      NA	        NA	       NA	       NA	       NA	       NA	       NA	       NA	     NA	       NA	        NA	-0.917404	-0.87100	-0.714123	-0.822649	-4.573573	-5.488511	-5.085416	-5.09688	-4.1088612	-4.81257	       NA	       NA	      NA	      NA	       NA	     NA	      NA	       NA	   NA	     NA	   NA	        NA	       NA	       NA	       NA	   NA	  NA	   NA	  NA	      NA	      NA	   NA	        NA	    NA	   NA	   NA	       NA	      NA	     NA	      NA	      NA	      NA	        NA	      NA	      NA
Q0250	COX2	       NA	       NA	      NA	        NA	       NA	       NA	       NA	       NA	       NA	       NA	     NA	 0.150683	-0.2938797	-0.282456	-0.30372	 0.599340	 0.488287	-3.880426	-3.783763	-3.986804	-3.71059	-3.9910782	-3.49082	       NA	       NA	      NA	      NA	       NA	     NA	      NA	       NA	   NA	     NA	   NA	        NA	       NA	       NA	       NA	   NA	  NA	   NA	  NA	      NA	      NA	   NA	        NA	    NA	   NA	   NA	       NA	      NA	     NA	 3.67773	 3.53747	 3.59856	 3.4823518	 3.75930	 3.40990
Q0255		       NA	       NA	      NA	        NA	       NA	       NA	       NA	       NA	       NA	       NA	     NA	       NA	        NA	-2.061456	      NA	-2.853715	-3.326604	       NA	       NA	       NA	      NA	-6.1883027	      NA	       NA	       NA	      NA	      NA	       NA	     NA	      NA	       NA	   NA	     NA	   NA	        NA	       NA	       NA	       NA	   NA	  NA	   NA	  NA	      NA	      NA	   NA	        NA	    NA	   NA	   NA	       NA	      NA	     NA	      NA	      NA	      NA	        NA	      NA	      NA
Q0275	COX3	       NA	       NA	      NA	        NA	       NA	       NA	       NA	       NA	       NA	       NA	     NA	-1.373385	-1.2960005	-1.216424	-1.17126	-0.909534	-0.909660	-6.183011	       NA	       NA	-5.50235	-6.1883027	-6.19887	       NA	       NA	      NA	      NA	       NA	     NA	-1.41350	       NA	   NA	     NA	   NA	        NA	       NA	       NA	       NA	   NA	  NA	   NA	  NA	      NA	      NA	   NA	-1.8563020	    NA	   NA	   NA	       NA	      NA	     NA	      NA	      NA	      NA	        NA	      NA	      NA
R0010W	FLP1	       NA	       NA	      NA	        NA	       NA	       NA	       NA	       NA	       NA	       NA	     NA	       NA	        NA	       NA	      NA	       NA	       NA	 2.166000	 2.195813	 2.203739	 2.21054	 2.2988435	 2.23971	       NA	       NA	      NA	      NA	       NA	     NA	      NA	       NA	   NA	     NA	   NA	        NA	       NA	       NA	       NA	   NA	  NA	   NA	  NA	      NA	      NA	   NA	        NA	    NA	   NA	   NA	       NA	      NA	     NA	      NA	      NA	      NA	        NA	      NA	      NA
R0020C	REP1	       NA	       NA	      NA	        NA	       NA	       NA	       NA	       NA	       NA	       NA	     NA	 3.119409	 3.0111094	       NA	      NA	       NA	       NA	 4.283002	 4.286518	 4.271849	 4.20037	 4.1972405	 4.20053	       NA	       NA	      NA	      NA	       NA	     NA	      NA	       NA	   NA	     NA	   NA	        NA	       NA	       NA	       NA	   NA	  NA	   NA	  NA	      NA	      NA	   NA	-0.6449675	    NA	   NA	   NA	 0.933471	      NA	     NA	 3.11859	 3.47117	 3.31289	 2.9357148	 3.27753	 3.21712
R0030W	RAF1	       NA	       NA	      NA	        NA	       NA	       NA	       NA	       NA	       NA	       NA	     NA	 2.050632	 2.3342495	       NA	      NA	       NA	       NA	 2.980552	 2.988069	 3.008250	 2.98789	 3.0368277	 2.98184	       NA	       NA	      NA	      NA	       NA	     NA	      NA	       NA	   NA	     NA	   NA	        NA	       NA	       NA	       NA	   NA	  NA	   NA	  NA	      NA	      NA	   NA	-0.2683451	    NA	   NA	   NA	       NA	      NA	 2.1533	      NA	      NA	      NA	        NA	      NA	      NA
R0040C	REP2	       NA	       NA	      NA	        NA	       NA	       NA	       NA	       NA	       NA	       NA	     NA	 2.746794	 2.6010970	       NA	      NA	       NA	       NA	 1.565880	 1.552026	 1.527521	 1.42570	 1.4245283	 1.47992	       NA	       NA	      NA	      NA	       NA	     NA	      NA	       NA	   NA	     NA	   NA	        NA	       NA	       NA	       NA	   NA	  NA	   NA	  NA	      NA	      NA	   NA	 2.5506203	    NA	   NA	   NA	 2.148563	 2.84922	     NA	 2.78515	 3.07852	 2.88950	 2.6646485	 2.94521	 3.12349
YAL001C	TFC3	-0.045992	-0.237109	-0.54922	 0.0084148	-0.410172	 0.797117	 1.501101	 1.061988	 0.921753	-1.085281	-0.8775	-0.327924	-0.3186492	-0.365244	-0.17786	-0.209773	-0.171925	-0.087187	-0.160635	-0.065931	-0.14106	-0.1918507	-0.11437	 0.464682	-0.154519	 0.85872	 0.86281	 0.934161	 0.8791	      NA	-1.615065	   NA	     NA	0.503	-0.1311385	-0.022352	-0.166538	-0.059943	   NA	  NA	   NA	  NA	-2.09500	      NA	   NA	-0.1819550	    NA	   NA	   NA	       NA	 0.06849	     NA	 1.85746	 2.23225	 1.13753	 1.0769461	 1.35286	 1.60374
YAL002W	VPS8	-0.957565	-0.642247	 0.04939	        NA	-1.241882	-0.783351	-0.888499	 1.294026	-0.410004	-0.791529	-1.2830	-1.611559	-1.4528941	-1.538971	-1.68175	-1.109436	-1.698118	-0.149925	-0.120201	-0.197576	-0.18914	-0.1409306	-0.16578	-0.137996	 0.132405	      NA	 0.59711	 0.617491	 0.2325	      NA	       NA	   NA	     NA	   NA	-0.8464376	-0.563133	-0.576706	-0.691813	   NA	  NA	   NA	  NA	-0.32208	      NA	   NA	-1.5161049	    NA	   NA	   NA	       NA	      NA	     NA	      NA	      NA	      NA	        NA	      NA	      NA
YAL003W	EFB1	 3.977924	 4.100840	 3.82926	 3.8544114	 4.102861	 2.819280	 2.373600	 1.993135	 0.824517	 2.846145	 3.2761	 3.534087	 3.6514636	 3.645512	 3.62799	 4.050328	 3.976678	 3.833627	 3.840368	 3.849478	 3.83972	 3.8464762	 3.84042	 2.834148	 3.957066	      NA	      NA	       NA	     NA	 3.55213	 3.043114	3.416	 3.2090	3.969	 4.0296458	 3.705965	 4.042068	 4.019865	 7.95	8.08	 7.89	6.20	      NA	      NA	11.25	 6.5843611	10.933	11.15	11.32	 8.559125	 7.56576	 8.1231	 6.15987	 5.65481	 5.75901	 6.0983106	 5.87719	 5.63359
